Name,Type,Start,Duration,End,Rating,Cost,Seats_avail,route,ID
SKS Tourist Corporation (REGD),Non A/C Seater / Sleeper (2+1),23:55,06h 05m,06:00,3.5,599,20 Seats available,Mysore_to_Kozhikode,358
NS Transports,NON A/C Semi Sleeper / Sleeper (2+1),23:57,06h 33m,06:30,4.2,648,20 Seats available,Mysore_to_Kozhikode,359
SKS Tours & Travels,A/C Sleeper (2+1),23:59,05h 41m,05:40,4.2,849,20 Seats available,Mysore_to_Kozhikode,360
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),23:55,05h 35m,05:30,3.5,899,20 Seats available,Mysore_to_Kozhikode,361
NS Transports,Non A/C Seater / Sleeper (2+1),23:59,06h 11m,06:10,4.2,647,20 Seats available,Mysore_to_Kozhikode,362
National travels and logistics,NON A/C Sleeper (2+1),00:40,05h 35m,06:15,3.5,649,20 Seats available,Mysore_to_Kozhikode,363
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),16:30,06h 15m,22:45,2.6,600,20 Seats available,Mysore_to_Kozhikode,364
A1 Travels,Non A/C Seater / Sleeper (2+1),23:40,07h 05m,06:45,1.4,550,20 Seats available,Mysore_to_Kozhikode,365
A1 Travels,A/C Seater / Sleeper (2+1),23:45,06h 45m,06:30,1.4,650,20 Seats available,Mysore_to_Kozhikode,366
NS Transports,VE A/C Sleeper (2+1),23:59,07h 31m,07:30,4.2,879,20 Seats available,Mysore_to_Kozhikode,367
FAST LINE BUS,A/C Sleeper (2+1),23:59,06h 16m,06:15,4.1,2699,20 Seats available,Mysore_to_Kozhikode,368
KSRTC (Kerala) - 667,Super Fast Non AC Seater (2+3),16:15,10h 15m,02:30,2.2,477,32 Seats available,Thiruvananthapuram_to_Kozhikode,369
KSRTC (Kerala) - 368,AC MULTI AXLE,16:25,10h 25m,02:50,3.2,986,32 Seats available,Thiruvananthapuram_to_Kozhikode,370
KSRTC (Kerala) - 862,Super Fast Non AC Seater (2+3),16:30,12h 20m,04:50,3.2,502,32 Seats available,Thiruvananthapuram_to_Kozhikode,371
KSRTC (Kerala) - 3205,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,16:30,09h 50m,02:20,3.2,565,32 Seats available,Thiruvananthapuram_to_Kozhikode,372
KSRTC (Kerala) - 2985,Super Fast Non AC Seater (2+3),16:45,10h 50m,03:35,3.2,502,32 Seats available,Thiruvananthapuram_to_Kozhikode,373
KSRTC (Kerala) - 431,Super Fast Non AC Seater (2+3),17:15,11h 30m,04:45,3.2,515,32 Seats available,Thiruvananthapuram_to_Kozhikode,374
KSRTC (Kerala) - 1673,Super Fast Non AC Seater (2+3),17:50,10h 05m,03:55,3.2,515,32 Seats available,Thiruvananthapuram_to_Kozhikode,375
KSRTC (Kerala) - 377,AC MULTI AXLE,18:10,08h 39m,02:49,4.8,904,32 Seats available,Thiruvananthapuram_to_Kozhikode,376
KSRTC (Kerala) - 47,Swift Deluxe Non AC Air Bus (2+2),18:30,09h 22m,03:52,3.2,586,32 Seats available,Thiruvananthapuram_to_Kozhikode,377
KSRTC (Kerala) - 2956,Super Express Non AC Seater Air Bus (2+2),18:45,10h 40m,05:25,3.2,586,32 Seats available,Thiruvananthapuram_to_Kozhikode,378
KSRTC (Kerala) - 2364,Low Floor AC Seater 2+2,19:00,10h 10m,05:10,3.4,723,32 Seats available,Thiruvananthapuram_to_Kozhikode,379
KSRTC (Kerala) - 49,Swift Deluxe Non AC Air Bus (2+2),19:10,09h 10m,04:20,3.2,565,32 Seats available,Thiruvananthapuram_to_Kozhikode,380
KSRTC (Kerala) - 425,Super Express Non AC Seater Air Bus (2+2),19:15,08h 55m,04:10,2.4,545,32 Seats available,Thiruvananthapuram_to_Kozhikode,381
KSRTC (Kerala) - 1858,Low Floor AC Seater 2+2,20:00,10h 25m,06:25,3.4,742,32 Seats available,Thiruvananthapuram_to_Kozhikode,382
KSRTC (Kerala) - 3531,Super Express Non AC Seater Air Bus (2+2),20:00,07h 35m,03:35,3.2,565,32 Seats available,Thiruvananthapuram_to_Kozhikode,383
KSRTC (Kerala) - 3721,Super Express Non AC Seater Air Bus (2+2),20:01,09h 45m,05:46,3.2,565,32 Seats available,Thiruvananthapuram_to_Kozhikode,384
KSRTC (Kerala) - 528,Super Express Non AC Seater Air Bus (2+2),20:45,07h 55m,04:40,3.5,586,32 Seats available,Thiruvananthapuram_to_Kozhikode,385
KSRTC (Kerala) - 2123,Swift Deluxe Non AC Air Bus (2+2),21:05,10h 25m,07:30,3.2,586,32 Seats available,Thiruvananthapuram_to_Kozhikode,386
KSRTC (Kerala) - 45,Swift Deluxe Non AC Air Bus (2+2),21:10,09h 05m,06:15,4,565,32 Seats available,Thiruvananthapuram_to_Kozhikode,387
KSRTC (Kerala) - 3005,Swift Deluxe Non AC Air Bus (2+2),22:00,09h 10m,07:10,3.2,586,32 Seats available,Thiruvananthapuram_to_Kozhikode,388
KSRTC (Kerala) - 1860,Low Floor AC Seater 2+2,23:00,10h 00m,09:00,3.2,723,32 Seats available,Thiruvananthapuram_to_Kozhikode,389
KSRTC (Kerala) - 500,Super Express Non AC Seater Air Bus (2+2),23:45,07h 40m,07:25,3.3,586,32 Seats available,Thiruvananthapuram_to_Kozhikode,390
Madhavi Travels,A/C Sleeper (2+1),19:50,08h 40m,04:30,3.9,999,32 Seats available,Thiruvananthapuram_to_Kozhikode,391
BLM Transports,A/C Sleeper (2+1),20:15,08h 45m,05:00,3.6,855,32 Seats available,Thiruvananthapuram_to_Kozhikode,392
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:30,08h 30m,05:00,3.4,700,32 Seats available,Thiruvananthapuram_to_Kozhikode,393
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,09h 30m,06:30,3.8,600,32 Seats available,Thiruvananthapuram_to_Kozhikode,394
A1 Travels,Bharat Benz A/C Sleeper (2+1),19:00,09h 00m,04:00,3.5,900,32 Seats available,Thiruvananthapuram_to_Kozhikode,395
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),18:01,09h 59m,04:00,3.2,800,32 Seats available,Thiruvananthapuram_to_Kozhikode,396
Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:00,09h 00m,06:00,2.2,649,32 Seats available,Thiruvananthapuram_to_Kozhikode,397
A1 Travels,A/C Seater / Sleeper (2+1),21:35,09h 25m,07:00,3.2,650,32 Seats available,Thiruvananthapuram_to_Kozhikode,398
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:15,09h 15m,05:30,3.7,750,32 Seats available,Thiruvananthapuram_to_Kozhikode,399
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),16:00,11h 00m,03:00,3.2,1200,32 Seats available,Thiruvananthapuram_to_Kozhikode,400
Galaxy Tours,A/C Semi Sleeper (2+2),21:00,09h 00m,06:00,2.9,650,32 Seats available,Thiruvananthapuram_to_Kozhikode,401
Kalpaka Travels 1,A/C Sleeper (2+1),20:00,08h 00m,04:00,4,1000,32 Seats available,Thiruvananthapuram_to_Kozhikode,402
EMERALD TRAVELS,A/C Sleeper (2+1),19:30,09h 00m,04:30,3.3,1100,32 Seats available,Thiruvananthapuram_to_Kozhikode,403
